engine,suite,test,metric,unit,value,ts,run_id,round,velox_ver,dd_ver
velox,realworld,pgbench_tps,tps,tps,13795.572797,1787649478.156699,2026-08-24,5,1.2.0,4.88.0
velox,quality,slept,flag,n,0,1787649481.214585,2026-08-24,5,1.2.0,4.88.0
dd,launch,run_true,median_s,s,0.1276106544,1787649585.318231,2026-08-24,5,1.2.0,4.88.0
dd,launch,churn30_per,per_s,s,0.136,1787649589.581713,2026-08-24,5,1.2.0,4.88.0
dd,launch,parallel20_total,total_s,s,0.98,1787649590.789771,2026-08-24,5,1.2.0,4.88.0
dd,net,pubport_h2c_p1,gbits,gbps,12.68,1787649600.0732758,2026-08-24,5,1.2.0,4.88.0
dd,net,pubport_h2c_p4,gbits,gbps,25.29,1787649608.2203252,2026-08-24,5,1.2.0,4.88.0
dd,net,c2host,gbits,gbps,26.36,1787649616.655863,2026-08-24,5,1.2.0,4.88.0
dd,net,c2c,gbits,gbps,95.77,1787649625.266905,2026-08-24,5,1.2.0,4.88.0
dd,io,cp_out,mbps,MBps,223.7,1787649630.5619981,2026-08-24,5,1.2.0,4.88.0
dd,io,cp_in,mbps,MBps,154.0,1787649637.4079099,2026-08-24,5,1.2.0,4.88.0
dd,fs,bind_write,mbps,MBps,1265.8,1787649638.842742,2026-08-24,5,1.2.0,4.88.0
dd,fs,bind_read,mbps,MBps,2195.8,1787649639.5021892,2026-08-24,5,1.2.0,4.88.0
dd,fs,vol_write,mbps,MBps,1478.0,1787649640.423435,2026-08-24,5,1.2.0,4.88.0
